Abkhazia
289,67,,Aquafon,Operational
289,68,,A-Mobile,Operational
Afganistan
412,01,Afghan Wireless Communication Company,AWCC,Operational
412,20,Telecom Development Company Afghanistan Ltd.,Roshan,Operational
412,40,MNT Group Afganistan,MTN,Operational
412,50,Etisalat Afghanistan,Etisalat,Operational
Albania
276,01,Albanian Mobile Communications,AMS,Operational
276,02,Vodafone Albania,Vodafone,Operational
276,03,Eagle Mobile,Eagle Mobile,Operational
276,04,Plus Communcation,Plus Communication,Operational
Algeria
603,01,ATM Mobilis,Mobilis,Operational
603,02,Orascom Telecom Algerie Spa,Djezzy,Operational
603,03,Wataniya Telecom Algerie,Nedjma,Operational
American Samoa
544,11,Blue Sky Communications,,Operational
Andorra
213,03,Servei De Tele. DAndorra,Mobiland,Operational
Angola
631,02,Unitel S.a.r.l.,Unitel,Operational
631,03,Movicel,Movicel,Operational
631,04,Movicel,Movicel,Operational
Anguilla
365,05,Mossel Ltd (Digicel),,Operational
365,10,Weblinks Limited,,Operational
365,840,Cable & Wireless,,Operational
Antigua and Barbuda
344,30,Antigua Public Utilities Authority,APUA,Operational
344,50,Antigua Wireless Ventures Limited,Digicel,Operational
344,920,Cable & Wireless (Antigua),Lime,Operational
Argentina
722,01,Telefonica Móviles Argentina SA,Movistar,Operational
722,02,Nll Holdings,Nextel,Operational
722,07,Telefonica Móviles Argentina SA,Movistar,Operational
722,10,Telefonica Móviles Argentina SA,Movistar,Inactive
722,20,Nll Holdings,Nextel,Inactive
722,34,Telecom Personal S.A.,Personal,Operational
722,35,Hutchison Telecommunications Argentina S.A.,Port-Hable,Operational
722,36,Telecom Personal S.A.,Personal,Inactive3
722,40,TE.SA.M Argentina S.A,Globalstar,Inactive
722,70,Telefonica Móviles Argentina SA,Movistar,Operational
722,310,AMX Argentina S.A,Claro,Operational
722,320,AMX Argentina S.A,Claro,Operational
722,330,AMX Argentina S.A,Claro,Operational
722,340,Telecom Personal S.A.,Personal,Operational
722,341,Telecom Personal S.A.,Personal,Operational
722,350,Hutchison Telecommunications Argentina S.A.,Port-Hable,Inactive
Armenia
283,01,ArmenTel,Beeline (telecommunications),Operational
283,04,Karabakh Telecom,Karabakh Telecom,Inactive
283,05,K Telecom CJSC,VivaCell-MTS,Operational
283,10,Orange Armenia,Orange,Operational
283,77,K Telecom,VivaCell-MTS,Operational
Aruba
363,01,Servicio di Telecomunicacio di Aruba,SETAR,Operational
363,02,Digicel,Digicel,Operational
Australia
505,01,Telstra Corporation Ltd.,Telstra,Operational
505,02,Optus Mobile Pty. Ltd.,Optus,Operational
505,03,Vodafone Network Pty. Ltd.,Vodafone,Operational
505,04,Department of Defence,,Inactive
